min.x,δ(min.x),min.y,δ(min.y),ln(min.y),δ(ln(min.y)),max.x,δ(max.x),max.y,δ(max.y),ln(max.y),δ(ln(max.y))
103.33049999999999,0.1,-0.076,0.02,-2.577021938695806,0.2631578947368421,103.8765,0.056,0.085,0.02,-2.4651040224918206,0.23529411764705882
104.4195,0.08,-0.072,0.02,-2.631089159966082,0.2777777777777778,104.96400000000001,0.111,0.085,0.02,-2.4651040224918206,0.23529411764705882
105.50999999999999,0.053,-0.072,0.02,-2.631089159966082,0.2777777777777778,106.053,0.093,0.085,0.02,-2.4651040224918206,0.23529411764705882
106.59700000000001,0.115,-0.068,0.02,-2.6882475738060303,0.29411764705882354,107.1425,0.07,0.085,0.02,-2.4651040224918206,0.23529411764705882
107.68599999999999,0.097,-0.068,0.02,-2.6882475738060303,0.29411764705882354,108.2355,0.03,0.085,0.02,-2.4651040224918206,0.23529411764705882
108.776,0.073,-0.068,0.02,-2.6882475738060303,0.29411764705882354,109.319,0.109,0.081,0.02,-2.513306124309698,0.24691358024691357
109.86699999999999,0.041,-0.068,0.02,-2.6882475738060303,0.29411764705882354,110.408,0.091,0.081,0.02,-2.513306124309698,0.24691358024691357
110.952,0.113,-0.063,0.02,-2.7646205525906042,0.31746031746031744,111.498,0.069,0.081,0.02,-2.513306124309698,0.24691358024691357
112.0415,0.096,-0.063,0.02,-2.7646205525906042,0.31746031746031744,112.58999999999999,0.033,0.081,0.02,-2.513306124309698,0.24691358024691357
113.1305,0.076,-0.063,0.02,-2.7646205525906042,0.31746031746031744,113.674,0.113,0.076,0.02,-2.577021938695806,0.2631578947368421
114.22099999999999,0.045,-0.063,0.02,-2.7646205525906042,0.31746031746031744,114.76350000000001,0.096,0.076,0.02,-2.577021938695806,0.2631578947368421
115.3075,0.11800000000000001,-0.059,0.02,-2.8302178350764176,0.33898305084745767,115.85300000000001,0.075,0.076,0.02,-2.577021938695806,0.2631578947368421
116.39649999999999,0.10200000000000001,-0.059,0.02,-2.8302178350764176,0.33898305084745767,116.94399999999999,0.043000000000000003,0.076,0.02,-2.577021938695806,0.2631578947368421
117.4855,0.082,-0.059,0.02,-2.8302178350764176,0.33898305084745767,118.02850000000001,0.122,0.07200000000000001,0.02,-2.6310891599660815,0.27777777777777773
118.5755,0.056,-0.059,0.02,-2.8302178350764176,0.33898305084745767,119.11749999999999,0.106,0.07200000000000001,0.02,-2.6310891599660815,0.27777777777777773
119.66149999999999,0.122,-0.05499999999999999,0.02,-2.900422093749666,0.3636363636363637,120.2065,0.08600000000000001,0.07200000000000001,0.02,-2.6310891599660815,0.27777777777777773
120.75,0.107,-0.05499999999999999,0.02,-2.900422093749666,0.3636363636363637,121.296,0.061,0.07200000000000001,0.02,-2.6310891599660815,0.27777777777777773
