min.x,δ(min.x),min.y,δ(min.y),min.y.exp,δ(min.y.exp),max.x,δ(max.x),max.y,δ(max.y),max.y.exp,δ(max.y.exp)
83.50699999999999,0.17300000000000001,-0.046,0.02,1.0470744109569372,0.020941488219138743,84.1445,0.162,0.041999999999999996,0.02,1.0470744109569372,0.020941488219138743
84.783,0.137,-0.046,0.02,1.0470744109569372,0.020941488219138743,85.4215,0.12,0.041999999999999996,0.02,1.0470744109569372,0.020941488219138743
86.0605,0.08,-0.046,0.02,1.0470744109569372,0.020941488219138743,86.69449999999999,0.196,0.037,0.02,1.0470744109569372,0.020941488219138743
87.3325,0.17400000000000002,-0.041,0.02,1.0418521055454795,0.02083704211090959,87.9695,0.164,0.037,0.02,1.0418521055454795,0.02083704211090959
88.6085,0.134,-0.041,0.02,1.0418521055454795,0.02083704211090959,89.246,0.121,0.037,0.02,1.0418521055454795,0.02083704211090959
89.887,0.077,-0.041,0.02,1.0418521055454795,0.02083704211090959,90.528,0.053,0.037,0.02,1.0418521055454795,0.02083704211090959
91.15849999999999,0.18,-0.037000000000000005,0.02,1.0376930208381572,0.020753860416763144,91.7965,0.17200000000000001,0.033,0.02,1.0376930208381572,0.020753860416763144
92.435,0.145,-0.037000000000000005,0.02,1.0376930208381572,0.020753860416763144,93.0735,0.134,0.033,0.02,1.0376930208381572,0.020753860416763144
93.713,0.097,-0.037000000000000005,0.02,1.0376930208381572,0.020753860416763144,94.354,0.075,0.033,0.02,1.0376930208381572,0.020753860416763144
94.987,0.209,-0.033,0.02,1.0335505392413056,0.02067101078482611,95.625,0.199,0.028999999999999998,0.02,1.0335505392413056,0.02067101078482611
96.26449999999998,0.178,-0.033,0.02,1.0335505392413056,0.02067101078482611,96.902,0.165,0.028999999999999998,0.02,1.0335505392413056,0.02067101078482611
97.5415,0.14,-0.033,0.02,1.0335505392413056,0.02067101078482611,98.1805,0.116,0.028999999999999998,0.02,1.0335505392413056,0.02067101078482611
98.82350000000001,0.074,-0.033,0.02,1.0335505392413056,0.02067101078482611,99.4545,0.23,0.024,0.02,1.0335505392413056,0.02067101078482611
100.093,0.211,-0.027999999999999997,0.02,1.028395684421425,0.020567913688428502,100.7315,0.198,0.024,0.02,1.028395684421425,0.020567913688428502
101.36999999999999,0.17300000000000001,-0.027999999999999997,0.02,1.028395684421425,0.020567913688428502,102.009,0.161,0.024,0.02,1.028395684421425,0.020567913688428502
102.6485,0.128,-0.027999999999999997,0.02,1.028395684421425,0.020567913688428502,103.2895,0.10400000000000001,0.024,0.02,1.028395684421425,0.020567913688428502
103.9225,0.252,-0.024,0.02,1.0242903178906215,0.02048580635781243,104.56,0.247,0.019999999999999997,0.02,1.0242903178906215,0.02048580635781243
105.199,0.221,-0.024,0.02,1.0242903178906215,0.02048580635781243,105.83649999999999,0.214,0.019999999999999997,0.02,1.0242903178906215,0.02048580635781243
106.476,0.183,-0.024,0.02,1.0242903178906215,0.02048580635781243,107.11349999999999,0.176,0.019999999999999997,0.02,1.0242903178906215,0.02048580635781243
107.754,0.135,-0.024,0.02,1.0242903178906215,0.02048580635781243,108.3925,0.12,0.019999999999999997,0.02,1.0242903178906215,0.02048580635781243
109.026,0.271,-0.019000000000000003,0.02,1.0191816486174081,0.020383632972348163,109.6645,0.268,0.015000000000000001,0.02,1.0191816486174081,0.020383632972348163
110.303,0.241,-0.019000000000000003,0.02,1.0191816486174081,0.020383632972348163,110.9415,0.23600000000000002,0.015000000000000001,0.02,1.0191816486174081,0.020383632972348163
111.57950000000001,0.202,-0.019000000000000003,0.02,1.0191816486174081,0.020383632972348163,112.219,0.197,0.015000000000000001,0.02,1.0191816486174081,0.020383632972348163
112.8585,0.15,-0.019000000000000003,0.02,1.0191816486174081,0.020383632972348163,113.4975,0.14200000000000002,0.015000000000000001,0.02,1.0191816486174081,0.020383632972348163
114.13099999999999,0.319,-0.015,0.02,1.015113064615719,0.02030226129231438,114.768,0.317,0.011,0.02,1.015113064615719,0.02030226129231438
115.407,0.291,-0.015,0.02,1.015113064615719,0.02030226129231438,116.04399999999998,0.28700000000000003,0.011,0.02,1.015113064615719,0.02030226129231438
116.6835,0.254,-0.015,0.02,1.015113064615719,0.02030226129231438,117.32000000000001,0.249,0.011,0.02,1.015113064615719,0.02030226129231438
117.96,0.20500000000000002,-0.015,0.02,1.015113064615719,0.02030226129231438,118.5965,0.196,0.011,0.02,1.015113064615719,0.02030226129231438
119.2405,0.126,-0.015,0.02,1.015113064615719,0.02030226129231438,119.879,0.10300000000000001,0.011,0.02,1.015113064615719,0.02030226129231438
120.50550000000001,0.362,-0.011,0.02,1.0110607224447195,0.020221214448894388,121.14399999999999,0.361,0.006999999999999999,0.02,1.0110607224447195,0.020221214448894388
121.781,0.327,-0.011,0.02,1.0110607224447195,0.020221214448894388,122.4185,0.324,0.006999999999999999,0.02,1.0110607224447195,0.020221214448894388
123.0555,0.276,-0.011,0.02,1.0110607224447195,0.020221214448894388,123.69349999999999,0.272,0.006999999999999999,0.02,1.0110607224447195,0.020221214448894388
124.3325,0.2,-0.011,0.02,1.0110607224447195,0.020221214448894388,124.972,0.189,0.006999999999999999,0.02,1.0110607224447195,0.020221214448894388
125.6035,0.494,-0.006,0.02,1.006018036054065,0.0201203607210813,126.24,0.511,0.002,0.02,1.006018036054065,0.0201203607210813
126.8775,0.468,-0.006,0.02,1.006018036054065,0.0201203607210813,127.51249999999999,0.486,0.002,0.02,1.006018036054065,0.0201203607210813
128.1505,0.43,-0.006,0.02,1.006018036054065,0.0201203607210813,128.786,0.451,0.002,0.02,1.006018036054065,0.0201203607210813
129.42600000000002,0.369,-0.006,0.02,1.006018036054065,0.0201203607210813,130.06,0.389,0.002,0.02,1.006018036054065,0.0201203607210813
130.70850000000002,0.218,-0.006,0.02,1.006018036054065,0.0201203607210813,131.338,0.293,0.002,0.02,1.006018036054065,0.0201203607210813
152.6585,42.348,-0.002,0.02,1.0020020013340003,0.020040040026680007,,,,,1.0020020013340003,0.020040040026680007
