min.x,δ(min.x),min.y,δ(min.y),max.x,δ(max.x),max.y,δ(max.y)
332.87600000000003,0.169,-0.011,0.02,333.402,0.137,0.024000000000000004,0.02
333.92600000000004,0.161,-0.011,0.02,334.4535,0.126,0.024000000000000004,0.02
334.9765,0.152,-0.011,0.02,335.5045,0.114,0.024000000000000004,0.02
336.0275,0.14200000000000002,-0.011,0.02,336.55550000000005,0.1,0.024000000000000004,0.02
337.07800000000003,0.131,-0.011,0.02,337.6085,0.082,0.024000000000000004,0.02
338.129,0.11900000000000001,-0.011,0.02,338.66450000000003,0.054,0.024000000000000004,0.02
339.18,0.107,-0.011,0.02,339.70050000000003,0.262,0.02,0.02
340.232,0.091,-0.011,0.02,340.75,0.257,0.02,0.02
341.285,0.069,-0.011,0.02,341.8005,0.252,0.02,0.02
342.326,0.267,-0.006999999999999999,0.02,342.851,0.247,0.02,0.02
343.37600000000003,0.263,-0.006999999999999999,0.02,343.901,0.241,0.02,0.02
344.426,0.257,-0.006999999999999999,0.02,344.9515,0.23600000000000002,0.02,0.02
345.4765,0.252,-0.006999999999999999,0.02,346.0015,0.23,0.02,0.02
346.527,0.247,-0.006999999999999999,0.02,347.052,0.223,0.02,0.02
347.577,0.241,-0.006999999999999999,0.02,348.1025,0.218,0.02,0.02
348.628,0.23500000000000001,-0.006999999999999999,0.02,349.1525,0.21,0.02,0.02
349.67850000000004,0.228,-0.006999999999999999,0.02,350.2035,0.202,0.02,0.02
350.729,0.221,-0.006999999999999999,0.02,351.254,0.195,0.02,0.02
351.78,0.215,-0.006999999999999999,0.02,352.305,0.187,0.02,0.02
352.83,0.20700000000000002,-0.006999999999999999,0.02,353.3555,0.178,0.02,0.02
353.88100000000003,0.199,-0.006999999999999999,0.02,354.406,0.169,0.02,0.02
354.93149999999997,0.192,-0.006999999999999999,0.02,355.45750000000004,0.158,0.02,0.02
355.983,0.183,-0.006999999999999999,0.02,356.5085,0.148,0.02,0.02
357.0335,0.17400000000000002,-0.006999999999999999,0.02,357.55949999999996,0.136,0.015,0.02
358.0845,0.164,-0.011,0.02,358.6105,0.122,0.015,0.02
359.1355,0.154,-0.011,0.02,359.65749999999997,0.11800000000000001,0.015,0.02
360.182,0.157,-0.011,0.02,360.7095,0.108,0.015,0.02
361.2325,0.14200000000000002,-0.011,0.02,361.7645,0.08,0.015,0.02
362.28450000000004,0.126,-0.011,0.02,362.805,0.305,0.011,0.02
363.337,0.113,-0.011,0.02,363.855,0.299,0.011,0.02
364.3895,0.09,-0.011,0.02,364.9055,0.294,0.011,0.02
365.43,0.313,-0.006999999999999999,0.02,365.9565,0.29,0.011,0.02
